Symbol,Name,Last_Sale,Start_of_Year_Sale,YTD_Change_Percent,Sector
AMN,AMN Healthcare Services Inc,49.92,56.66,-13.501602564102551,Technology
AMOV,"America Movil, S.A.B. de C.V.",13.04,14.05,-7.745398773006147,Public Utilities
AMP,"AMERIPRISE FINANCIAL SERVICES, INC.",130.45,104.37,19.992334227673428,Finance
AMRC,"Ameresco, Inc.",13.46,14.1,-4.7548291233283715,Basic Industries
AMRX,"Amneal Pharmaceuticals, Inc.",3.02,13.53,-348.0132450331126,Health Care
AMT,American Tower Corporation (REIT),213.9,158.19,26.04488078541375,Consumer Services
AMX,"America Movil, S.A.B. de C.V.",13.32,14.25,-6.98198198198198,Public Utilities
AN,"AutoNation, Inc.",47.53,35.7,24.88954344624447,Consumer Durables
ANET,"Arista Networks, Inc.",230.95,210.7,8.768131630222992,Technology
ANF,Abercrombie & Fitch Company,16.81,20.05,-19.274241522903047,Consumer Services
ANFI,Amira Nature Foods Ltd,0.6,0.42,30.0,Consumer Non-Durables
ANH,Anworth Mortgage Asset  Corporation,3.68,4.04,-9.78260869565217,Consumer Services
ANTM,"Anthem, Inc.",283.62,262.63,7.400747479021229,Health Care
AON,Aon plc,183.25,145.36,20.67667121418826,Finance
AOS,A.O Smith Corporation,43.65,42.7,2.1764032073310324,Consumer Durables
AP,Ampco-Pittsburgh Corporation,3.5,3.1,11.428571428571425,Capital Goods
APA,Apache Corporation,23.25,26.25,-12.903225806451612,Energy
APAM,Artisan Partners Asset Management Inc.,27.19,22.11,18.68333946303789,Finance
APC,Anadarko Petroleum Corporation,73.1,43.3509,40.696443228454164,Energy
APD,"Air Products and Chemicals, Inc.",220.06,160.05,27.269835499409247,Basic Industries
APH,Amphenol Corporation,86.21,81.02,6.020183273402155,Capital Goods
APHA,Aphria Inc.,7.03,5.69,19.061166429587477,Consumer Durables
APLE,"Apple Hospitality REIT, Inc.",14.85,14.26,3.973063973063972,Consumer Services
APO,"Apollo Global Management, LLC",31.43,24.54,21.921730830416802,Finance
APRN,"Blue Apron Holdings, Inc.",7.83,15.3,-95.40229885057472,Consumer Services
APTS,"Preferred Apartment Communities, Inc.",14.04,14.06,-0.14245014245015208,Consumer Services
APTV,Aptiv PLC,80.99,61.57,23.978268922089143,Capital Goods
APU,"AmeriGas Partners, L.P.",33.09,23.8685,27.867935932305837,Consumer Services
APY,Apergy Corporation,29.58,27.08,8.451656524678837,Technology
AQ,Aquantia Corp.,13.14,8.77,33.25722983257231,Technology
